Charity Number,Charity Name,Registered Date,Known As,Charity Status,Notes,Postcode,Constitutional Form,Previous Constitutional Form 1,Geographical Spread,Main Operating Location,Purposes,Beneficiaries,Activities,Objectives,Principal Office/Trustees Address,Website,Most recent year income,Most recent year expenditure,Mailing cycle,Year End,Donations and legacies income,Charitable activities income,Other trading activities income,Investments income,Other income,Raising funds spending,Charitable activities spending,Other spending,Parent charity name,Parent charity number,Parent charity country of registration,Designated religious body,Regulatory Type,_invalid_reason
SC000422,Enable Livingston & District Branch,10/09/1986 00:00,Enable Livingston Branch,Active,,EH54 6AB,Unincorporated association,,"Wider, but within one local authority area",Glasgow City,"'The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'","'Children / young people','Older people','People with disabilities or health problems'",'It carries out activities or services itself',pTo promote the welfare of children and adults with a learning disability within [Livingston and District geographical area] ('the Operating Area') including the meeting of their needs and the development of their capabilities all in furtherance of the objectives of Enable Scotland (charity number: SC009024).,"Newyearfield Farm Community Centre, Hawk Brae, Ladywell West, Livingston, West Lothian",35,49622,48434,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000473,Scottish Renal Assoc,06/10/1978 00:00,,Active,,IV2 3UJ,Unincorporated association,,Operations cover all or most of Scotland,Aberdeen,"'The advancement of education','The advancement of health'",'People with disabilities or health problems','It carries out activities or services itself',The object of the Association shall be to advance the study of the biological and clinical problems in relation to diseases of the kidney and to encourage the exchange of knowledge between the various centres in Scotland.,"Renal Unit, Raigmore Hospital, Inverness",,49541,35148,2019,31/12/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC000577,Scalloway Public Hall Trust,01/01/1992 00:00,,Active,,ZE1 0TX,Trust (founding document is a deed of trust) (other than educational endowment),,"Wider, but within one local authority area",Shetland Islands,"'The advancement of citizenship or community development','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The promotion of religious or racial harmony','Any other purpose that may reasonably be regarded as analogous to any of the preceding purposes'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',The advancement of civic responsibility or community development; Analogous Purposes.,"16 Gibblestone Road, Scalloway, Shetland",,40210,29435,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000593,Dalkeith And District Citizens Advice Bureau,16/12/1983 00:00,,Active,,,Company (the charity is registered with Companies House),,More than one local authority area in Scotland,Midlothian,"'The prevention or relief of poverty','The advancement of education','The advancement of health','The advancement of citizenship or community development','The advancement of human rights, conflict resolution or reconciliation'","'Older people','People with disabilities or health problems','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"1.The company's objects are to promote any charitable purposes for the public benefit in Dalkeith and surrounding areas in Midlothian (“the area of local benefit”) and elsewhere, by:  (i)The advancement of education  by providing clients with information, clarification and understanding of legislation, regulation and services and their legal rights and responsibilities.  (ii)The prevention or relief of poverty  by assessing clients’ entitlement to welfare benefits, by providing assistance in claiming benefits and by assisting them to appeal against refusal to benefits with a view to avoiding their suffering from poverty.  (iii)The advancement of civil and human rights  by providing information and assistance to ensure that people do not suffer through ignorance of their civil and human rights and by taking such actions as are intended to redress the situation and redress wrongs and restore justice.  (iv)The advancement of health  by providing a comprehensive advice service which deals with all aspects of clients’ problems and alleviates the injury, stress and anxiety caused by unsolved problems.  (v)The advancement of citizenship or community development  by recruiting, training and developing local citizens to be volunteers in and for the Citizens Advice Bureau who in turn assist members of the public in their community and in doing so contribute to the development of their community.  Where the objects are being promoted outwith the defined area of local benefit the company may work with organisations with similar aims but shall at all times adhere to the agreed principles for the operation of Citizens Advice Bureau set out from time to time by the Scottish Association of Citizens Advice Bureau. ",Address Withheld,,278526,236570,2020,31/03/2020,295,277835,0,396,0,0,236570,0,,,,No,Standard,Invalid or no website
SC000658,Symbister Public Hall,25/03/1933 00:00,,Active,,ZE2 9AA,Unincorporated association,,"A specific local point, community or neighbourhood",Shetland Islands,"'The advancement of the arts, heritage, culture or science','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'","'Children / young people','Older people','People with disabilities or health problems','No specific group, or for the benefit of the community','Other charities / voluntary bodies'",'It carries out activities or services itself',"For the purposes of physical and mental recreation and social, moral and intellectual development through the medium of reading and recreation rooms, library, lectures, classes, recreations, and entertainments or otherwise as may be found expedient for the inhabitants of the Island of Whalsay in the County of Zetland, without distinction of sex or of political or other opinions, subject to the provisions of these presents.","Ellwood, Symbister, Whalsay, Shetland Isles, Shetland Islands",,39556,26523,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000706,Merkinch Community Centre Association,31/12/1969 00:00,,Active,"This SCIO was incorporated on 11 November 2016 as a result of the conversion of a charitable company (Company number: SC103787, company name:Merkinch Community Centre Association).",IV3 8AD,SCIO (Scottish Charitable Incorporated Organisation),Company (the charity is registered with Companies House),"A specific local point, community or neighbourhood",Highland,"'The advancement of education','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'","'Children / young people','Older people','People with disabilities or health problems','People of a particular ethnic or racial origin','Other defined groups','Other charities / voluntary bodies'",'It carries out activities or services itself',"4.1 To promote the wellbeing and benefit of the residents and inhabitants of the Merkinch area of Inverness and its environs by associating with local authorities, local clubs and voluntary organisations, members, residents and inhabitants in a common effort to advance education and to provide facilities in the interests of social welfare for recreation and leisure time occupation with the object of improving the conditions and quality of lives for said residents and inhabitants. 4.2 Without prejudice to the foregoing to operate and manage the building known as Merkinch Community Centre and co-operate with any local authority in the maintenance and management of the Centre in furtherance of the purposes mentioned at 4.1 above.","Coronation Park, Inverness",,126388,118142,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000761,Culter Community Playgroup,14/05/1979 00:00,,Active,,AB14 0UD,Unincorporated association,,"A specific local point, community or neighbourhood",Aberdeen,"'The advancement of education','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'Children / young people','It carries out activities or services itself',"The aim of the playgroup is to promote the aim of the Scottish Pre-School Play Association which is to advance the education of pe-school children so that they may take a constructive place in the community, and also the education of their parents and other adults, children and teenagers.","Culter Village Hall, North Deeside Road, Peterculter, Aberdeen",,49018,44366,2020,31/08/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000767,Playtime Early Years,25/05/1977 00:00,,Active,"This SCIO was incorporated on 02 June 2014 as a result of a Change to SCIO application by Playtime Nursery SC000767, which was an Unincorporated Association registered as a charity since 25 May 1977.",KA24 4BA,SCIO (Scottish Charitable Incorporated Organisation),Unincorporated association,"A specific local point, community or neighbourhood",North Ayrshire,"'The advancement of education','The advancement of citizenship or community development'",'Children / young people','It carries out activities or services itself',"To advance the education and social development of pre-school children with the emphasis on the play experience, so that they become successful learners, confident Individuals, responsible citizens and effective contributors, and take a constructive place in the community and also to develop and enhance the education of their parents, carers and other appropriate persons.","Dalry Community Centre, St Margaret Avenue, Dalry, Ayrshire",,101770,84684,2020,30/06/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000783,Home-Start Lorn,11/01/1988 00:00,Homestart Lorn,Active,,PA34 4HP,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Argyll & Bute,'The advancement of education',"'Children / young people','People with disabilities or health problems'",'It carries out activities or services itself',"(a) To safeguard, protect and preserve the good health, both mental and physical of children and parents of children; (b) To prevent cruelty to or maltreatment of children; (c) To relieve sickness, poverty and need amongst children and parents of children; (d) To promote the education of the public in better standards of child care within the area of Lorn and its environs.","15 Lochside Street, Oban",,91917,68296,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000788,Harris Voluntary Service,11/03/1981 00:00,,Active,,HS3 3BG,Company (the charity is registered with Companies House),,"A specific local point, community or neighbourhood",Western Isles,"'The prevention or relief of poverty','The advancement of education','The advancement of health','The advancement of citizenship or community development','The advancement of the arts, heritage, culture or science','The advancement of public participation in sport','The advancement of environmental protection or improvement','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage','The advancement of animal welfare'","'Children / young people','No specific group, or for the benefit of the community','Other charities / voluntary bodies'","'It makes grants, donations, loans, gifts or pensions to individuals','It carries out activities or services itself'","(i) To promote any charitable purpose for the benefit of the inhabitants of the Island of Harris (within Harris) and in particular the advancement of education, the relief of poverty, distress and sickness; the preservation and safeguarding of the physical and mental health of the community through physical recreation (including sports) and education in relation thereto;  (ii) To promote and organise co-operation in and the achievement of the above purposes and to that end to bring together Representatives of the Statutory Authorities and voluntary organisations engaged in the furtherance of the above purposes or any of them within the Island of Harris (within Harris); (iii) The provision in the interests of social welfare and for the purposes of improving the conditions of life of the persons for whom the same are primarily intended of facilities for physical recreation (including sports) which shall be available to the public at large, including special facilities for persons who by reason of their youth, age, infirmity or disablement, poverty or social and economic circumstances may have need of special facilities and; (iv) To do all other things as will properly attain the above purposes.","Room 15, Old Primary School, West Tarbert, Isle Of Harris",Harris Voluntary Service,105278,90821,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000839,The Cabin,10/06/1981 00:00,,Active,,AB55 5QB,Unincorporated association,,"A specific local point, community or neighbourhood",Moray,"'The advancement of education','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'Children / young people','It carries out activities or services itself',"Objects 2. The aim of the group is to advance the education and social development of preschool and older children with the emphasis on the play experience, so that they take a constructive place in the community and also to advance the education of their parents/carers and other appropriate persons. In furtherance of the above aims the group shall seek: (a) to provide safe and satisfying group play and learning (b) to encourage other charitable activities through which the parents/carers may support the development of children.","Davieburn House, Drummuir, Keith",,88238,76637,2020,30/04/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000847,Royal College Of Physicians & Surgeons Of Glasgow,06/04/1982 00:00,,Active,,G2 5RJ,Statutory corporation (Royal Charter etc),,UK and overseas,Glasgow City,"'The advancement of education','The advancement of health','The advancement of the arts, heritage, culture or science'",'Other defined groups',"'It makes grants, donations, loans, gifts or pensions to individuals','It carries out activities or services itself'",The advancement of education; the advancement of health,"232-242 St Vincent Street, Glasgow",www.rcpsg.ac.uk,7569763,7968481,2020,31/03/2020,457419,6076560,437168,596616,2000,375323,7582946,10212,,,,No,Standard,Invalid or no website
SC000895,Scottish Women’s Institutes Aberdeenshire Federation,15/05/1945 00:00,SWI Aberdeenshire Federation,Active,Previous name SWRI Scottish Womens Rural Institute Aberdeenshire Federation from 15-05-1945 to 13-06-2019 ,AB25 1SS,Unincorporated association,,Operations cover all or most of Scotland,City of Edinburgh,"'The advancement of education','The advancement of the arts, heritage, culture or science'",'Other defined groups','It carries out activities or services itself',a)    To advance the education and skills of women and girls			 			 To provide a platform for social activities and networking			 To promote the preservation and development of Scotland's heritage and culture		 To promote and work with like-minded organisations at home and abroad,"63 Esslemont Avenue, Aberdeen, Aberdeen",,33754,16838,2020,31/08/2020,,,,,,,,,Scottish Womens Rural Institutes,SC011901,Scotland,No,Standard,Invalid or no website
SC000950,Wairds Park Committee,31/08/1972 00:00,,Active,,DD10 0EP,Company (the charity is registered with Companies House),,"A specific local point, community or neighbourhood",Aberdeenshire,"'The advancement of citizenship or community development','The advancement of public participation in sport','Any other purpose that may reasonably be regarded as analogous to any of the preceding purposes'","'No specific group, or for the benefit of the community'",'It carries out activities or services itself',1. The advancement of civic responsibility or community development 2. The advancement of public participation in sport 3. Any other purpose that may reasonably be regarded as analogous to any of the preceding purposes,"Wairds Park, Beach Road, Johnshaven, Montrose",,70151,89661,2020,31/10/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC000983,Central Borders Citizens Advice Bureau,26/06/1979 00:00,,Active,,TD1 1RZ,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Scottish Borders,"'The prevention or relief of poverty','The advancement of human rights, conflict resolution or reconciliation','Any other purpose that may reasonably be regarded as analogous to any of the preceding purposes'","'Children / young people','Older people','People with disabilities or health problems','No specific group, or for the benefit of the community'",'It carries out activities or services itself',"The company's objects are to promote any charitable purposes for the public benefit in (i) the former District of Ettrick and Lauderdale and (ii) elsewhere by i) the advancement of education by providing clients with information, clarification and understanding of legislation and their legal rights and responsibilities. ii) the relief of those in need by assessing clients entitlement to welfare benefits, by providing assistance in claiming benefits and by assisting them to appeal against refusal to benefits and by doing so ensure they do not suffer from poverty. iii) the advancement of human rights by ensuring that people do not suffer through ignorance of their human rights and by taking such actions required to redress the situation and restore justice. iv) advancement of health by providing a comprehensive advice service which deals with all aspects of clients problems and alleviates the stress and anxiety caused by unsolved problems. v) advancement of community development by recruiting, training and developing local citizens to be volunteer advisers in the Citizens Advice Bureau who in turn assist members of the public in their community and in doing so contribute to the development of their community.","111 High Street, Galashiels",,142568,134252,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC001050,The Glencorse Association,01/01/1992 00:00,,Active,,EH26 0QZ,Company (the charity is registered with Companies House),Unincorporated association,"A specific local point, community or neighbourhood",Midlothian,"'The advancement of education','The advancement of citizenship or community development','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended'","'Children / young people','Older people','People with disabilities or health problems','No specific group, or for the benefit of the community'","'It makes grants, donations, loans, gifts or pensions to individuals','It makes grants, donations or gifts to organisations','It carries out activities or services itself'","The company's objects are: 1. To promote, without discrimination on grounds of political, religious, socio-economic status, gender identity, sexual orientation, race or ethnicity, age, physical or mental capacity, the well-being of persons residing in the Parish of Glencorse, Midlothian, Scotland, by providing social, recreational and educational facilities and opportunities principally for the people of the Parish of Glencorse for the advancement of education and social well-being, with the object of improving the conditions of life for persons residing in the said area. 2. To secure the establishment of a Community Hall and Public Park, and to maintain and manage, or co-operate with other bodies to maintain and manage, such facilities. 3. To raise funds and administer funds for the achievement of the foregoing objects. ","4 Firth Road, Auchendinny",,73820,105569,2020,31/07/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC001097,The Andrew Grant Bequest,01/01/1992 00:00,,Active,,EH8 9YL,Educational endowment,,UK and overseas,City of Edinburgh,'The advancement of education','Children / young people','It carries out activities or services itself',"(1) The endowment created by a codicil dated 12th September 1911 to the trust disposition and settlement dated 24th October 1894 of the late Andrew Grant and known as the Andrew Grant Bequest (in this article referred to as the 'bequest' ) is to be held and administered by the transferee in accordance with the provisions of this article . (2) The transferee- (a) must apply not less than four-fifths of the free income of the bequest in each financial year to provide scholarships or bursaries to deserving students of the University on programmes of study within the reconstituted ECA either during such programme of study or in the way of travelling scholarships or otherwise after such programme of study is finished under such regulations as the transferee shall from time to time appoint: and The University of Edinburgh is a charitable body, registered in Scotland, with registration number SC005336 (b) may apply the remainder - (i) in the meeting of the expenses of organised educational excursions for the benefit of students of the University on programmes of study within the reconstituted College or the expenses of holding exhibitions of work of art at the University; (ii) in providing equipment and facilities for special study at the reconstituted College; (iii) in assisting the provision and development of sports activities at or in connection with the reconstituted College; (iv) in assisting the formation, maintenance and encouragement of clubs, societies, and other organisations conducted for the benefit of students of the University on programmes of study at the reconstituted College. (3) Income unused at the end of the financial year may be carried forward to the next financial year or added to the capital of the bequest or both.","The University of Edinburgh, Old College, South Bridge, Edinburgh",www.ed.ac.uk,119128,115779,2020,31/07/2020,,,,,,,,,University Of Edinburgh,SC005336,Scotland,No,Standard,Invalid or no website
SC001111,Ability Shetland Ltd,27/03/1987 00:00,,Active,,ZE1 0JP,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Shetland Islands,"'The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Children / young people','People with disabilities or health problems'",'It carries out activities or services itself',"The company's objects are:  (a) Carry out its activities in a way that ensures that people with disabilities and additional support needs are treated as full and equal members of their communities.  (b) Devise group and individual programmes which meet the identified need of clients, by creating appropriate services and strategies and removing any obstruction to that process.  (c) Continually assess the need for expanding and improving our service.  (d) Ensure that people in Shetland communities have full knowledge and understanding of disabilities, but also recognise the potential of disabled children and adults.  (e) Work in close co-operation with statutory and voluntary organisations to create integrated approaches and strategies for the benefit of shared clients. ","Market House, 14 Market Street, Lerwick, Shetland",,189627,229818,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC001114,Lybster Day Care Association,01/05/1990 00:00,,Active,,KW3 6AF,Unincorporated association,,"A specific local point, community or neighbourhood",Highland,"'The advancement of citizenship or community development','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Older people','People with disabilities or health problems'",'It carries out activities or services itself',"2. OBJECTIVES i) The advancement of citizenship or community development.  ii) The provision of recreational facilities, or the organisation of recreational activities, with object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended.  iii) The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage.  iv) Bringing together representatives of statutory bodies, voluntary organisations and individuals with an interest in the welfare of people.  v) Primarily by providing a day care centre for people in the Lybster area’ ","9 Jeffrey Street, Lybster, Caithness",,31676,43622,2020,31/03/2020,,,,,,,,,,,,No,Standard,Invalid or no website
SC001115,Jean Drummond Centre,04/10/1990 00:00,,Not Submitted,,DD2 3DT,Unincorporated association,,"Wider, but within one local authority area",Dundee City,"'The advancement of education','The advancement of health','The advancement of citizenship or community development','The provision of recreational facilities, or the organisation of recreational activities, with the object of improving the conditions of life for the persons for whom the facilities or activities are primarily intended','The promotion of equality and diversity','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'","'Older people','People with disabilities or health problems'",'It carries out activities or services itself',"The aim of the Centre is to provide a day service for adults normally  aged over 40 who have a  learning disability, and the provision of support which will encourage them to become as  independent as is possible, with an aim of a better quality of life and enabling the individual to irrtegrate approp&ly within the wider communiity.","Earl St, Off Liff Rd, Dundee",,101661,104473,2019,31/03/2019,,,,,,,,,,,,No,Standard,Invalid or no website
SC001152,Perth & Kinross Society For The Blind,07/03/1917 00:00,VisionPK,Active,,PH1 5QA,Company (the charity is registered with Companies House),,"Wider, but within one local authority area",Perth & Kinross,"'The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'People with disabilities or health problems','It carries out activities or services itself',"The company's objects are to promote the welfare of people who have a sensory impairment which impacts on activities of daily living or mobility residing within the area administered by Perth and Kinross Council and such other area or areas as the company may subsequently include within its geographical area of operations or as may be determined by the company at its absolute discretion, (hereinafter referred to as, “the Operating Area”) and to work with such persons to empower and support them to lead independent and fulfilling lives as equal members of society.","Perth & Kinross Sensory Centre, 14 New Row, Perth",,431377,521102,2020,31/03/2020,100464,229884,32962,58406,9661,23314,497788,0,,,,No,Standard,Invalid or no website
SC001205,East Ayrshire Women's Aid,01/01/1992 00:00,,Active,,KA1 1JB,Company (the charity is registered with Companies House),Unincorporated association,"Wider, but within one local authority area",East Ayrshire,"'The advancement of education','The promotion of equality and diversity','The relief of those in need by reason of age, ill health, disability, financial hardship or other disadvantage'",'Other defined groups','It carries out activities or services itself',"a) The relief of women, children and young people who have experienced or are in fear of domestic abuse perpetrated by partners or ex-partners by: (i) the provision of temporary refuge accommodation; (ii) providing support and information on access to other services; (iii) providing structured supportive opportunities to allow women, children and young people affected by domestic abuse to make choices for their future; (iv) liaising with other services, including the police, and advocating for women, children and young people affected by domestic abuse within legal and other protection services. b} The advancement of education by: (i) raising awareness of the effects of domestic abuse with the public and with young people in particular; (ii) providing opportunities for women, children and young people to shape the development of services, policy and practice at strategic level. c) The promotion of equality and diversity by upholding and promoting the rights of all women, children and young people regardless of ethnicity, religion or cultural background, who have experienced domestic abuse in the belief that violence against women, is symptomatic of wider structural inequalities in society, and thus mainly perpetrated by men. ","10 Croft Street, Kilmarnock, East Ayrshire",,650156,650226,2020,30/03/2020,22528,624628,0,0,3000,63537,586689,0,,,,No,Standard,Invalid or no website
